Epoch 91, Loss: 0.2002525096601349, Accuracy: 0.8822
Epoch 92, Loss: 0.27349289825533407, Accuracy: 0.8573666666666667
Epoch 93, Loss: 0.4206200057672242, Accuracy: 0.7915666666666666
Epoch 94, Loss: 0.18213291845079196, Accuracy: 0.9114
Epoch 95, Loss: 0.1673413294099145, Accuracy: 0.9192
Epoch 96, Loss: 0.16500300989817765, Accuracy: 0.9195666666666666
Epoch 97, Loss: 0.1853840541789087, Accuracy: 0.91
Epoch 98, Loss: 0.16621170275039593, Accuracy: 0.9191333333333334
Epoch 99, Loss: 0.18431790955996108, Accuracy: 0.9082
Epoch 100, Loss: 0.1614015430717145, Accuracy: 0.9174666666666667
Epoch 101, Loss: 0.19529025041956014, Accuracy: 0.8995666666666666
Epoch 102, Loss: 0.1695065537499169, Accuracy: 0.9156333333333333
Epoch 103, Loss: 0.15858725054284273, Accuracy: 0.9214
Epoch 104, Loss: 0.15161709171735635, Accuracy: 0.9222333333333333
Epoch 105, Loss: 0.1537459322835429, Accuracy: 0.9184333333333333
Epoch 106, Loss: 0.15200103661518985, Accuracy: 0.9178333333333333
Epoch 107, Loss: 0.15052205065296867, Accuracy: 0.9191333333333334
Epoch 108, Loss: 0.1498845506901458, Accuracy: 0.9191666666666667
Epoch 109, Loss: 0.1403592990048356, Accuracy: 0.9232666666666667
Epoch 110, Loss: 0.14718895285563954, Accuracy: 0.9205
Epoch 111, Loss: 0.1515571284976046, Accuracy: 0.9170333333333334
Epoch 112, Loss: 0.14500097608414747, Accuracy: 0.9216666666666666
Epoch 113, Loss: 0.15091154036127916, Accuracy: 0.9194333333333333
Epoch 114, Loss: 0.14296757347755512, Accuracy: 0.9221
Epoch 115, Loss: 0.14396179663175243, Accuracy: 0.9211666666666667
Epoch 116, Loss: 0.14716049422652033, Accuracy: 0.9197666666666666
Epoch 117, Loss: 0.1405852921307087, Accuracy: 0.9223
Epoch 118, Loss: 0.14169896160394457, Accuracy: 0.923
Epoch 119, Loss: 0.14768036063444817, Accuracy: 0.9195333333333333
Epoch 120, Loss: 0.1505740267240395, Accuracy: 0.9170333333333334
Epoch 121, Loss: 0.15012210083462424, Accuracy: 0.9167333333333333
Epoch 122, Loss: 0.1467231413570501, Accuracy: 0.9185666666666666
Epoch 123, Loss: 0.14922099358449548, Accuracy: 0.9191666666666667
Epoch 124, Loss: 0.14376543815863335, Accuracy: 0.9217333333333333
Epoch 125, Loss: 0.14184193673022724, Accuracy: 0.9214333333333333
Epoch 126, Loss: 0.14762901066470954, Accuracy: 0.9223333333333333
Epoch 127, Loss: 0.15597664179690815, Accuracy: 0.9221333333333334
Epoch 128, Loss: 0.15772743579947343, Accuracy: 0.9193666666666667
Epoch 129, Loss: 0.15856592268761943, Accuracy: 0.9201
Epoch 130, Loss: 0.15323320119562794, Accuracy: 0.9202666666666667
Epoch 131, Loss: 0.14816883117970775, Accuracy: 0.9232333333333334
Epoch 132, Loss: 0.14787365875001682, Accuracy: 0.9211333333333334
Epoch 133, Loss: 0.1465044416234655, Accuracy: 0.9219666666666667
Epoch 134, Loss: 0.15014432762133872, Accuracy: 0.9201333333333334
Epoch 135, Loss: 0.1459392240997088, Accuracy: 0.9208666666666666
Epoch 136, Loss: 0.14618696316571558, Accuracy: 0.9208666666666666
Epoch 137, Loss: 0.14581486677466812, Accuracy: 0.9203666666666667
Epoch 138, Loss: 0.14503680289549342, Accuracy: 0.919
Epoch 139, Loss: 0.1454669055923567, Accuracy: 0.9195
Epoch 140, Loss: 0.14353868895668095, Accuracy: 0.9224333333333333
Epoch 141, Loss: 0.1412194564433421, Accuracy: 0.9237666666666666
Epoch 142, Loss: 0.15227373386338605, Accuracy: 0.9168333333333333
Epoch 143, Loss: 0.14982639613040424, Accuracy: 0.9173666666666667
Epoch 144, Loss: 0.1515514514077518, Accuracy: 0.9157333333333333
Epoch 145, Loss: 0.1423721525628688, Accuracy: 0.9208
Epoch 146, Loss: 0.1443778428612119, Accuracy: 0.92
Epoch 147, Loss: 0.13936991516058728, Accuracy: 0.9221
Epoch 148, Loss: 0.14392609092391143, Accuracy: 0.9214666666666667
Epoch 149, Loss: 0.14847313467476328, Accuracy: 0.9169
Epoch 150, Loss: 0.14876681168453168, Accuracy: 0.9174333333333333
Epoch 151, Loss: 0.14746934743755954, Accuracy: 0.9197333333333333
Epoch 152, Loss: 0.14030355972758793, Accuracy: 0.9222666666666667
Epoch 153, Loss: 0.14714084268879082, Accuracy: 0.9194666666666667
Epoch 154, Loss: 0.1504144558714608, Accuracy: 0.9174666666666667
Epoch 155, Loss: 0.14245350848315125, Accuracy: 0.9216
Epoch 156, Loss: 0.14661509613111867, Accuracy: 0.9177333333333333
Epoch 157, Loss: 0.1528628013270386, Accuracy: 0.9154
Epoch 158, Loss: 0.15320982329421123, Accuracy: 0.9187333333333333
Epoch 159, Loss: 0.1545988063059621, Accuracy: 0.9154333333333333
Epoch 160, Loss: 0.1448271408424539, Accuracy: 0.9198666666666667
Epoch 161, Loss: 0.14422849066934343, Accuracy: 0.9206
Epoch 162, Loss: 0.14023981170760372, Accuracy: 0.9233666666666667
Epoch 163, Loss: 0.2022712332970005, Accuracy: 0.8925333333333333
Epoch 164, Loss: 0.1821895808107772, Accuracy: 0.8976
Epoch 165, Loss: 0.15159109316892544, Accuracy: 0.9175
Epoch 166, Loss: 0.14106307317644862, Accuracy: 0.9225333333333333
Epoch 167, Loss: 0.14776908505265995, Accuracy: 0.9183
Epoch 168, Loss: 0.14611347783672607, Accuracy: 0.9182333333333333
Epoch 169, Loss: 0.13801854653126103, Accuracy: 0.9225333333333333
Epoch 170, Loss: 0.15430555808342108, Accuracy: 0.9174666666666667
Epoch 171, Loss: 0.14487015923201027, Accuracy: 0.9207333333333333
Epoch 172, Loss: 0.14716111748652944, Accuracy: 0.9178
Epoch 173, Loss: 0.14366308056702048, Accuracy: 0.9215333333333333
Epoch 174, Loss: 0.14317095254437398, Accuracy: 0.9211
Epoch 175, Loss: 0.1449312243168637, Accuracy: 0.9214666666666667
Epoch 176, Loss: 0.14993270979089252, Accuracy: 0.9154333333333333
Epoch 177, Loss: 0.14760972123782515, Accuracy: 0.9177666666666666
Epoch 178, Loss: 0.14723589858513766, Accuracy: 0.9194666666666667
Epoch 179, Loss: 0.14359494658597446, Accuracy: 0.9205
Epoch 180, Loss: 0.14935285446502394, Accuracy: 0.9165333333333333
Epoch 181, Loss: 0.14918990660521944, Accuracy: 0.9179666666666667
Epoch 182, Loss: 0.14361096855442404, Accuracy: 0.9203
Epoch 183, Loss: 0.14557880737771423, Accuracy: 0.9183
Epoch 184, Loss: 0.14208565080948807, Accuracy: 0.9212666666666667
Epoch 185, Loss: 0.14667455959370582, Accuracy: 0.9177
Epoch 186, Loss: 0.14185288037031385, Accuracy: 0.9214333333333333
Epoch 187, Loss: 0.13817315214013648, Accuracy: 0.9246666666666666
Epoch 188, Loss: 0.13697605933678353, Accuracy: 0.9229333333333334
Epoch 189, Loss: 0.14083569357960912, Accuracy: 0.9208666666666666
Epoch 190, Loss: 0.14784706248191454, Accuracy: 0.9181666666666667
Epoch 191, Loss: 0.13970261022953664, Accuracy: 0.9225
Epoch 192, Loss: 0.14111139423261254, Accuracy: 0.9206333333333333
Epoch 193, Loss: 0.14523667431736398, Accuracy: 0.9204666666666667
Epoch 194, Loss: 0.14753581059433646, Accuracy: 0.9196333333333333
Epoch 195, Loss: 0.141830486324379, Accuracy: 0.9201666666666667
Epoch 196, Loss: 0.13960945719884613, Accuracy: 0.9227
Epoch 197, Loss: 0.15194243773565455, Accuracy: 0.9191
Epoch 198, Loss: 0.14494528965550965, Accuracy: 0.9208
Epoch 199, Loss: 0.14267359329861098, Accuracy: 0.9207333333333333
Epoch 200, Loss: 0.14633975935689472, Accuracy: 0.917
Epoch 201, Loss: 0.1406834812487586, Accuracy: 0.9220333333333334
Epoch 202, Loss: 0.14223578894289873, Accuracy: 0.9202333333333333
Epoch 203, Loss: 0.1411100680292663, Accuracy: 0.9224666666666667
Epoch 204, Loss: 0.1492252799413972, Accuracy: 0.9162333333333333
Epoch 205, Loss: 0.14145117919197528, Accuracy: 0.9210666666666667
Epoch 206, Loss: 0.13902506876294896, Accuracy: 0.9215666666666666
Epoch 207, Loss: 0.14692723012324108, Accuracy: 0.9184666666666667
Epoch 208, Loss: 0.14822701914078099, Accuracy: 0.9172666666666667
Epoch 209, Loss: 0.1375288653929355, Accuracy: 0.9235333333333333
Epoch 210, Loss: 0.1395810580480907, Accuracy: 0.9219333333333334
Epoch 211, Loss: 0.14799826440669722, Accuracy: 0.9172666666666667
Epoch 212, Loss: 0.14194310664878054, Accuracy: 0.9206333333333333
Epoch 213, Loss: 0.14082863724837869, Accuracy: 0.9217
Epoch 214, Loss: 0.14392028003931046, Accuracy: 0.9198666666666667
Epoch 215, Loss: 0.14238064976061804, Accuracy: 0.9208
Epoch 216, Loss: 0.14575910574551357, Accuracy: 0.9206666666666666
Epoch 217, Loss: 0.1639285471164069, Accuracy: 0.9117
Epoch 218, Loss: 0.14173462102978918, Accuracy: 0.9222
Epoch 219, Loss: 0.141877757985208, Accuracy: 0.9222
Epoch 220, Loss: 0.14280580899725526, Accuracy: 0.9207666666666666
Epoch 221, Loss: 0.14917550122333786, Accuracy: 0.9155
Epoch 222, Loss: 0.14752025725477833, Accuracy: 0.9146
Epoch 223, Loss: 0.1514926273060047, Accuracy: 0.9157333333333333
Epoch 224, Loss: 0.14905128899519726, Accuracy: 0.9188333333333333
Epoch 225, Loss: 0.14978948671181322, Accuracy: 0.9168
Epoch 226, Loss: 0.14707998912465775, Accuracy: 0.9169666666666667
Epoch 227, Loss: 0.14573601728021088, Accuracy: 0.9181
Epoch 228, Loss: 0.14137950583787287, Accuracy: 0.9213666666666667
Epoch 229, Loss: 0.13938150466498683, Accuracy: 0.9234666666666667
Epoch 230, Loss: 0.1417998166407569, Accuracy: 0.9208666666666666
Epoch 231, Loss: 0.1476499462910628, Accuracy: 0.9162
Epoch 232, Loss: 0.14438398093995403, Accuracy: 0.9208666666666666
Epoch 233, Loss: 0.14576847144102645, Accuracy: 0.9186
Epoch 234, Loss: 0.1726234653112242, Accuracy: 0.9052666666666667
Epoch 235, Loss: 0.14233502556206817, Accuracy: 0.9221
Epoch 236, Loss: 0.14439572520175223, Accuracy: 0.9210333333333334
Epoch 237, Loss: 0.14503672662175307, Accuracy: 0.9204666666666667
Epoch 238, Loss: 0.1444979670568038, Accuracy: 0.9194666666666667
Epoch 239, Loss: 0.14511178762225782, Accuracy: 0.9205666666666666
Epoch 240, Loss: 0.14076152917439655, Accuracy: 0.9227
Epoch 241, Loss: 0.14110421218861968, Accuracy: 0.9216666666666666
Epoch 242, Loss: 0.14019065741765296, Accuracy: 0.9221333333333334
Epoch 243, Loss: 0.1415967946966826, Accuracy: 0.9203666666666667
Epoch 244, Loss: 0.14156220499741828, Accuracy: 0.9196666666666666
Epoch 245, Loss: 0.142967106364036, Accuracy: 0.9188666666666667
Epoch 246, Loss: 0.13842125565318739, Accuracy: 0.9223333333333333
Epoch 247, Loss: 0.13928278371439143, Accuracy: 0.9225333333333333
Epoch 248, Loss: 0.14098842391523264, Accuracy: 0.9215666666666666
Epoch 249, Loss: 0.14240164145574732, Accuracy: 0.9203
Epoch 250, Loss: 0.147178548498679, Accuracy: 0.9194
Epoch 251, Loss: 0.14603062725420726, Accuracy: 0.9205333333333333
Epoch 252, Loss: 0.13856503525275296, Accuracy: 0.9250333333333334
Epoch 253, Loss: 0.14331161603331566, Accuracy: 0.9198333333333333
Epoch 254, Loss: 0.14151611722121804, Accuracy: 0.9207666666666666
Epoch 255, Loss: 0.14201699026812942, Accuracy: 0.9216666666666666
Epoch 256, Loss: 0.14232972592620527, Accuracy: 0.9222
Epoch 257, Loss: 0.14089946063645817, Accuracy: 0.9219666666666667
Epoch 258, Loss: 0.13738538962552102, Accuracy: 0.9229666666666667
Epoch 259, Loss: 0.14161912838028648, Accuracy: 0.9208333333333333
Epoch 260, Loss: 0.1433571294202643, Accuracy: 0.9211666666666667
Epoch 261, Loss: 0.1426870403022079, Accuracy: 0.9207666666666666
Epoch 262, Loss: 0.14064010965116955, Accuracy: 0.9208666666666666
Epoch 263, Loss: 0.1511317936987695, Accuracy: 0.9162333333333333
Epoch 264, Loss: 0.14303430801225922, Accuracy: 0.9211
Epoch 265, Loss: 0.14517102396841777, Accuracy: 0.9192666666666667
Epoch 266, Loss: 0.14044010519223699, Accuracy: 0.9207333333333333
Epoch 267, Loss: 0.136653667473692, Accuracy: 0.9244333333333333
Epoch 268, Loss: 0.1426423041749809, Accuracy: 0.9199
Epoch 269, Loss: 0.14083682922488552, Accuracy: 0.9219
Epoch 270, Loss: 0.14056074581408906, Accuracy: 0.921
Epoch 271, Loss: 0.1465130725528224, Accuracy: 0.9186666666666666
Epoch 272, Loss: 0.14068594259225717, Accuracy: 0.9208333333333333
Epoch 273, Loss: 0.14327936966793012, Accuracy: 0.9187666666666666
Epoch 274, Loss: 0.14133865531470816, Accuracy: 0.9194333333333333
Epoch 275, Loss: 0.1418989830476753, Accuracy: 0.9199333333333334
Epoch 276, Loss: 0.14342357881240925, Accuracy: 0.9209666666666667
Epoch 277, Loss: 0.13879480096116914, Accuracy: 0.9223666666666667
Epoch 278, Loss: 0.1422250298625332, Accuracy: 0.9219666666666667
Epoch 279, Loss: 0.14144583971444832, Accuracy: 0.9211333333333334
Epoch 280, Loss: 0.14252410993232564, Accuracy: 0.9211666666666667
Epoch 281, Loss: 0.20510620604884827, Accuracy: 0.9011
Epoch 282, Loss: 0.1421514870441061, Accuracy: 0.9244333333333333
Epoch 283, Loss: 0.1383244038512141, Accuracy: 0.9238666666666666
Epoch 284, Loss: 0.1424166491349875, Accuracy: 0.9217666666666666
Epoch 285, Loss: 0.14081232862199766, Accuracy: 0.9225666666666666
Epoch 286, Loss: 0.13982061915478464, Accuracy: 0.9221
Epoch 287, Loss: 0.1422115866157968, Accuracy: 0.9225333333333333
Epoch 288, Loss: 0.14342835495027445, Accuracy: 0.9205666666666666
Epoch 289, Loss: 0.1412124506245225, Accuracy: 0.9223666666666667
Epoch 290, Loss: 0.1392537855495841, Accuracy: 0.9231
Epoch 291, Loss: 0.14154669598250066, Accuracy: 0.9210666666666667
Epoch 292, Loss: 0.13859909545567076, Accuracy: 0.9233
Epoch 293, Loss: 0.141675213383416, Accuracy: 0.9225333333333333
Epoch 294, Loss: 0.14505985865401008, Accuracy: 0.9187
Epoch 295, Loss: 0.14118256906079032, Accuracy: 0.9196666666666666
Epoch 296, Loss: 0.13930009696948326, Accuracy: 0.9242666666666667
Epoch 297, Loss: 0.13859499062774544, Accuracy: 0.9225666666666666
Epoch 298, Loss: 0.1388265096535117, Accuracy: 0.9216666666666666
Epoch 299, Loss: 0.14203402501041607, Accuracy: 0.9207666666666666
Epoch 300, Loss: 0.1414532150631234, Accuracy: 0.9216666666666666
Epoch 301, Loss: 0.13913054164435903, Accuracy: 0.9219
Epoch 302, Loss: 0.1375542904992225, Accuracy: 0.9237666666666666
Epoch 303, Loss: 0.14414961876000387, Accuracy: 0.9208333333333333
Epoch 304, Loss: 0.1391240506101463, Accuracy: 0.9219666666666667
Epoch 305, Loss: 0.14462679933946013, Accuracy: 0.9187
Epoch 306, Loss: 0.14120455654495853, Accuracy: 0.9198
Epoch 307, Loss: 0.14016872221382998, Accuracy: 0.9216333333333333
Epoch 308, Loss: 0.14073150882781563, Accuracy: 0.9208
Epoch 309, Loss: 0.1434145091827643, Accuracy: 0.9184
Epoch 310, Loss: 0.14435627513517768, Accuracy: 0.9197
Epoch 311, Loss: 0.13946405387783456, Accuracy: 0.9227
Epoch 312, Loss: 0.14133836884619827, Accuracy: 0.9202333333333333
Epoch 313, Loss: 0.1368687424998162, Accuracy: 0.9225
Epoch 314, Loss: 0.14680189727726628, Accuracy: 0.9190333333333334
Epoch 315, Loss: 0.14218275154293594, Accuracy: 0.9205333333333333
Epoch 316, Loss: 0.13888112657656104, Accuracy: 0.9233666666666667
Epoch 317, Loss: 0.14137583049172062, Accuracy: 0.9210666666666667
